attributes,attributes,0,オブジェクトの属性を参照／設定します。
childNodes,childNodes,0,オブジェクトの子ノードを参照します。
firstChild,firstChild,0,オブジェクトの最初の子ノードを参照します。
lastChild,lastChild,0,オブジェクトの最後の子ノードを参照します。
localName,localName,0,名前空間の識別子を除いたローカル名を返します。
name,name,0,name属性で指定された名前を参照／設定します。
namespaceURI,namespaceURI,0,ノードの名前空間のURIを返します。
nextSibling,nextSibling,0,オブジェクトの次のノードを参照します。
nodeName,nodeName,0,ノードの名前を返します。
parentNode,parentNode,0,親ノードを参照します。
ownerDocument,ownerDocument,0,トップレベルのドキュメントオブジェクトを返します。
prefix,prefix,0,名前空間の識別子を返します。
previousSibling,previousSibling,0,オブジェクトの１つ前のノードを参照します。
tagName,tagName,0,タグ名を返します。
appendChild,appendChild,0,指定したエレメントにオブジェクトを追加します。
cloneNode,cloneNode,0,ノードを複製します。
createAttribute,createAttribute,0,指定された属性を作成します。<BR>Safari非推奨
createElement,createElement,0,指定したエレメントを作成します。
createTextNode,createTextNode,0,指定されたテキストノードを作成します。
getAttribute,getAttribute,0,属性の値を返します。
getElementById,getElementById,0,指定したID名を持つオブジェクトを返します。
getElementsByTagName,getElementsByTagName,0,指定したタグ名を持つオブジェクトを配列形式で返します。
hasChildNodes,hasChildNodes,0,子ノードがあるかどうか返します。
insertBefore,insertBefore,0,指定したエレメント内の指定された位置にオブジェクトを挿入します。
item,item,0,ノードへの参照を行います。<BR>ele[0]とele.item(0)は同じ意味になります。
removeAttribute,removeAttribute,0,指定された属性を削除します。
removeChild,removeChild,0,指定したエレメントからノードを削除します。
replaceChild,replaceChild,0,指定したエレメントのノードを置換します。
setAttribute,setAttribute,0,指定された属性名に値を設定します。
addEventListener,addEventListener,0,オブジェクトにイベントを追加します。<BR>※IE非対応
attachEvent,attachEvent,0,オブジェクトにイベントを追加します。<BR>※IE専用
removeEventListener,removeEventListener,0,オブジェクトからaddEventListener()で追加したイベントを削除します。<BR>※IE非対応
font,font,0,フォント関連をまとめて指定
font-size,font-size,0,フォントのサイズ
font-weight,font-weight,0,フォントの太さ
font-style,font-style,0,フォントのスタイル
font-family,font-family,0,フォントの種類
font-variant,font-variant,0,スモールキャピタル
text-align,text-align,0,水平方向の表示位置
vertical-align,vertical-align,0,垂直方向の表示位置
line-height,line-height,0,行の高さ
text-decoration,text-decoration,0,文字の装飾
text-indent,text-indent,0,1行目の字下げ
text-transform,text-transform,0,大文字と小文字の変換
letter-spacing,letter-spacing,0,文字の間隔
word-spacing,word-spacing,0,単語の間隔
white-space,white-space,0,改行・スペース・タブの扱い
color,color,0,文字色
background,background,0,背景関連をまとめて指定
background-color,background-color,0,背景色
background-image,background-image,0,背景画像
background-repeat,background-repeat,0,背景画像の並び方
background-position,background-position,0,背景画像の表示位置
background-attachment,background-attachment,0,背景画像の固定表示
width,width,0,内容領域の幅
height,height,0,内容領域の高さ
max-width,max-width,0,最大の幅
min-width,min-width,0,最小の幅
max-height,max-height,0,最大の高さ
min-height,min-height,0,最小の高さ
margin,margin,0,マージンをまとめて指定
padding,padding,0,パディングをまとめて指定
border,border,0,境界線関連をまとめて指定
border-width,border-width,0,境界線の太さをまとめて指定
border-color,border-color,0,境界線の色をまとめて指定
border-style,border-style,0,境界線のスタイルをまとめて指定
overflow,overflow,0,はみ出た部分の表示方法
display,display,0,表示形式
visibility,visibility,0,表示と非表示
clip,clip,0,切り抜き
float,float,0,フロート（浮動化）
clear,clear,0,回り込みの解除
position,position,0,配置方法
top,top,0,上からの距離
right,right,0,右からの距離
bottom,bottom,0,下からの距離
left,left,0,左からの距離
z-index,z-index,0,重なりの順序
direction,direction,0,基本書字方向
unicode-bidi,unicode-bidi,0,書字方向の組み込みと上書き
list-style,list-style,0,マーカー関連をまとめて指定
list-style-type,list-style-type,0,マーカーの種類
list-style-position,list-style-position,0,マーカーの位置
list-style-image,list-style-image,0,マーカーの画像
table-layout,table-layout,0,表のレイアウト方法
border-collapse,border-collapse,0,境界線の表示方法
border-spacing,border-spacing,0,境界線の間隔
empty-cells,empty-cells,0,空セルの境界線
caption-side,caption-side,0,表タイトルの位置
content,content,0,内容の生成
quotes,quotes,0,引用符の設定
outline,outline,0,アウトライン関連をまとめて指定
outline-width,outline-width,0,アウトラインの太さ
outline-color,outline-color,0,アウトラインの色
outline-style,outline-style,0,アウトラインのスタイル
cursor,cursor,0,カーソルの形
page-break-before,page-break-before,0,直前の改ページ
page-break-after,page-break-after,0,直後の改ページ
page-break-inside,page-break-inside,0,要素内の改ページ
break,break,0,直近のブロックを抜けます。
case,case,0,switch()で指定された値に応じてcaseで処理を振り分けます。
catch,catch,0,tryで発生したエラー／例外処理をcatchで行います。
const,const,0,定数を宣言します。
continue,continue,0,直近のブロックの先頭に処理を移します。
default,default,0,switch()で指定された値がどのcaseにも一致しない場合。
delete,delete,0,指定された変数名やオブジェクト、メソッド／プロパティ等を削除します。
do,do,0,while()までのブロック内の処理を繰り返します。
else,else,0,if()で書かれた条件を満たしていない場合に別の処理を行います。
finally,finally,0,tryで発生したエラーの後に必ず処理する命令を指定することができます。
function,function,0,関数を定義します。
if,if,0,if()で書かれた条件を満たした場合、次に続く処理を行います。
new,new,0,新しくオブジェクトを生成します。
return,return,0,関数からの戻り値を指定します。
switch,switch,0,switch()で指定された値に応じてcaseで処理を振り分けます。
this,this,0,オブジェクト自身を示します。
throw,throw,0,明示的に例外を発生させ指定された情報／メッセージ等を<BR>catch()のパラメータとして渡します。
try,try,0,例外処理を行います。
var,var,0,変数を宣言します。
while,while,0,while()で書かれた条件が満たされている場合、ブロック内の処理を繰り返します。
with,with,0,指定されたオブジェクトを省略して記述できるようにします。
abstract,abstract,0,(JavaScript予約語),
boolean,boolean,0,(JavaScript予約語),
break,break,0,(JavaScript予約語),
byte,byte,0,(JavaScript予約語),
case,case,0,(JavaScript予約語),
catch,catch,0,(JavaScript予約語),
char,char,0,(JavaScript予約語),
class,class,0,(JavaScript予約語),
const,const,0,(JavaScript予約語),
continue,continue,0,(JavaScript予約語),
default,default,0,(JavaScript予約語),
do,do,0,(JavaScript予約語),
double,double,0,(JavaScript予約語),
else,else,0,(JavaScript予約語),
extends,extends,0,(JavaScript予約語),
false,false,0,(JavaScript予約語),
final,final,0,(JavaScript予約語),
finally,finally,0,(JavaScript予約語),
float,float,0,(JavaScript予約語),
for,for,0,(JavaScript予約語),
function,function,0,(JavaScript予約語),
goto,goto,0,(JavaScript予約語),
if,if,0,(JavaScript予約語),
implements,implements,0,(JavaScript予約語),
import,import,0,(JavaScript予約語),
in,in,0,(JavaScript予約語),
instanceof,instanceof,0,(JavaScript予約語),
int,int,0,(JavaScript予約語),
interface,interface,0,(JavaScript予約語),
long,long,0,(JavaScript予約語),
native,native,0,(JavaScript予約語),
new,new,0,(JavaScript予約語),
null,null,0,(JavaScript予約語),
package,package,0,(JavaScript予約語),
private,private,0,(JavaScript予約語),
protected,protected,0,(JavaScript予約語),
prototype,prototype,0,(JavaScript予約語),
public,public,0,(JavaScript予約語),
return,return,0,(JavaScript予約語),
short,short,0,(JavaScript予約語),
static,static,0,(JavaScript予約語),
super,super,0,(JavaScript予約語),
switch,switch,0,(JavaScript予約語),
synchronized,synchronized,0,(JavaScript予約語),
this,this,0,(JavaScript予約語),
throw,throw,0,(JavaScript予約語),
throws,throws,0,(JavaScript予約語),
transient,transient,0,(JavaScript予約語),
true,true,0,(JavaScript予約語),
try,try,0,(JavaScript予約語),
var,var,0,(JavaScript予約語),
viod,viod,0,(JavaScript予約語),
while,while,0,(JavaScript予約語),
with,with,0,(JavaScript予約語),
