business,business,0,ビジネス、事業,
company,company,0,会社、同行する、仲間,
office,office,0,会社、事務所、役所,
want,want,0,欲しい、望む,
store,store,0,店、蓄え、蓄える,
way,way,0,方法、道、やり方,
order,order,0,注文する、要求,
call,call,0,呼ぶ、電話,
service,service,0,サービス、接客,
base,base,0,基本、ベース,
pay,pay,0,払う、給料,
product,product,0,商品,
report,report,0,レポート、報告する,
problem,problem,0,問題,
job,job,0,仕事、勤め口,
market,market,0,市場,
price,price,0,価格、値段,
rate,rate,0,割合、率、レート,
change,change,0,変わる、交代する,
check,check,0,チェックする、会計、小切手,
part,part,0,部分、役割,
plan,plan,0,計画、計画する,
sale,sale,0,売る、セール,
room,room,0,部屋,
area,area,0,場所,
free,free,0,自由,
sure,sure,0,確かな,
increase,increase,0,増える,
tax,tax,0,税金,
receive,receive,0,受け取る,
include,include,0,含む、入れる,
program,program,0,計画、番組,
cost,cost,0,費用、対価,
government,government,0,政府,
offer,offer,0,申し込む、進める、申し出,
charge,charge,0,料金を課す、料金,
experience,experience,0,経験,
state,state,0,述べる、国家、状態,
information,information,0,情報、案内,
account,account,0,口座、勘定,
turn,turn,0,戻る、振り返る,
form,form,0,形、形作る,
decide,decide,0,決める、決定する,
customer,customer,0,顧客、得意先,
line,line,0,線、行列、電話線,
schedule,schedule,0,予定、予定する,
sign,sign,0,署名する、兆候,
show,show,0,見せる,
drive,drive,0,運転する、ドライブ,
return,return,0,返す、収益,
department,department,0,百貨店,
run,run,0,走る、経営する,
close,close,0,閉じる、店を閉める,
serve,serve,0,奉仕する、仕える,
cause,cause,0,引き起こす、原因,
arrive,arrive,0,到着する,
board,board,0,登場する、板,
expect,expect,0,期待する、待つ,
air,air,0,空気,
system,system,0,制度、方式,
course,course,0,コース,
own,own,0,所有する、自分自身の,
bill,bill,0,請求書、請求する,
enjoy,enjoy,0,楽しむ,
public,public,0,公共、出版する,
manager,manager,0,支配人、部長,
seat,seat,0,席、席を取る,
weather,weather,0,天気,
stand,stand,0,立つ、耐える,
notice,notice,0,注目する、予告,
trip,trip,0,旅行、旅する,
happen,happen,0,起こる,
break,break,0,休憩、壊す,
complete,complete,0,完成する、完成した,
fill,fill,0,埋める,
floor,floor,0,床、階,
age,age,0,年、時代,
type,type,0,型、タイプ,
point,point,0,指示する、指摘する、要点,
passenger,passenger,0,旅客、通行人,
main,main,0,大事な、主の,
care,care,0,気にかける、世話,
save,save,0,貯める、貯蓄,
develop,develop,0,開発する,
provide,provide,0,提供する,
allow,allow,0,許す,
spend,spend,0,費やす,
drop,drop,0,落とす、一滴,
hold,hold,0,保つ,
mail,mail,0,メールする、メール,
copy,copy,0,複写、コピーする,
international,international,0,国際的な,
pass,pass,0,通過する、渡す,
message,message,0,伝言,
front,front,0,前面、正面、前,
condition,condition,0,状態,
fire,fire,0,火、クビにする,
probably,probably,0,おそらく,
term,term,0,期間、専門用語,
interest,interest,0,興味、利子、利息,
request,request,0,要求する、請求,
foreign,foreign,0,外国の,
meal,meal,0,食事,
control,control,0,支配、制御、支配する,
discount,discount,0,安くする,
regular,regular,0,普通,
wear,wear,0,着る、衣服,
trouble,trouble,0,もめごと、問題を起こす,
expensive,expensive,0,高い,
industry,industry,0,工業、産業,
local,local,0,土地の、地元の、普通列車,
position,position,0,位置、地位、姿勢,
busy,busy,0,忙しい,
reach,reach,0,近づく、到着する,
traffic,traffic,0,交通,
value,value,0,価値、価格,
possible,possible,0,可能な,
cover,cover,0,カバーする、表紙,
mind,mind,0,心、気にする,
energy,energy,0,活力,
result,result,0,結果,
matter,matter,0,問題、重要になる,
post,post,0,郵便、柱,
accident,accident,0,事故,
amount,amount,0,量,
attend,attend,0,出席する、出席,
continue,continue,0,続ける、続行,
degree,degree,0,度、学位,
heart,heart,0,心、中心、心臓,
prefer,prefer,0,好む,
plant,plant,0,植物、工場,
discuss,discuss,0,議論する,
cash,cash,0,現金、現金にする,
conversation,conversation,0,会話,
record,record,0,記録、記録する,
direct,direct,0,直接,
head,head,0,頭、トップ,
directly,directly,0,直接的に,
party,party,0,パーティ、政党,
boss,boss,0,上司,
policy,policy,0,政策、信念,
fall,fall,0,落ちる、下がる,
pick,pick,0,選ぶ、迎えにいく,
case,case,0,場合、事情、事例,
airline,airline,0,航空路,
necessary,necessary,0,必要な,
surprise,surprise,0,驚き、驚かせる,
popular,popular,0,人気の,
study,study,0,勉強、研究する,
design,design,0,設計する、デザイン,
medicine,medicine,0,薬、医学,
law,law,0,法律、法則,
lead,lead,0,導く、先導,
list,list,0,リスト,
period,period,0,期間、ピリオド,
safe,safe,0,安全な,
step,step,0,手段、段,
short,short,0,短い、不足,
apply,apply,0,申し込む、応用する,
produce,produce,0,製造する、産物,
couple,couple,0,組の,
chance,chance,0,機会,
present,present,0,出席の、現在の,
fine,fine,0,元気、罰金,
force,force,0,力、軍隊,
likely,likely,0,しそうな,
prepare,prepare,0,用意する、備える,
decision,decision,0,決心、決定,
total,total,0,合計の、合計する,
limit,limit,0,限界、制限する,
training,training,0,訓練,
corner,corner,0,端、角,
reason,reason,0,理由,
limitation,limitation,0,制限,
add,add,0,加える,
national,national,0,国家の、国の,
face,face,0,顔、面と向かう,
express,express,0,表現する,
demand,demand,0,要求する、需要,
depend,depend,0,頼る,
repair,repair,0,修理する、修理,
gas,gas,0,ガソリン、ガス,
ship,ship,0,船、船で運ぶ,
crowded,crowded,0,込んでいる,
lose,lose,0,負ける,
clear,clear,0,明白、きれいな,
sound,sound,0,音,
activity,activity,0,活動,
crowd,crowd,0,群集,
daily,daily,0,日々の,
raise,raise,0,上げる,
catch,catch,0,捕らえる,
exercise,exercise,0,運動、運動する,
skin,skin,0,肌,
ground,ground,0,地面、根拠,
agree,agree,0,合意する,
ready,ready,0,用意が整った,
press,press,0,押す、新聞,
tour,tour,0,旅行,
date,date,0,日付、デートする,
deal,deal,0,取引、取引する,
enter,enter,0,入る,
level,level,0,水準、平らな、平らにする,
accept,accept,0,受け入れる,
damage,damage,0,衝撃、衝撃を与える,
