フシギダネ,fushigidane,1,
フシギソウ,fushigisou,1,
フシギバナ,fushigibana,1,
ヒトカゲ,hitokage,1,
リザード,riza-do,1,
リザードン,riza-donn,1,
ゼニガメ,zenigame,1,
カメール,kame-ru,1,
カメックス,kamekkusu,1,
キャタピー,kyatapi-,1,
トランセル,torannseru,1,
バタフリー,batafuri-,1,
ビードル,bi-doru,1,
コクーン,koku-nn,1,
スピアー,supia-,1,
ポッポ,poppo,1,
ピジョン,pijonn,1,
ピジョット,pijotto,1,
コラッタ,koratta,1,
ラッタ,ratta,1,
オニスズメ,onisuzume,1,
オニドリル,onidoriru,1,
アーボ,a-bo,1,
アーボック,a-bokku,1,
ピカチュウ,pikachuu,1,
ライチュウ,raichuu,1,
サンド,sanndo,1,
サンドパン,sanndopann,1,
ニドラン♀,nidorann,1,
ニドリーナ,nidori-na,1,
ニドクイン,nidokuinn,1,
ニドラン♂,nidorann,1,
ニドリーノ,nidori-no,1,
ニドキング,nidokinngu,1,
ピッピ,pippi,1,
ピクシー,pikushi-,1,
ロコン,rokonn,1,
キュウコン,kyuukonn,1,
プリン,purinn,1,
プクリン,pukurinn,1,
ズバット,zubatto,1,
ゴルバット,gorubatto,1,
ナゾノクサ,nazonokusa,1,
クサイハナ,kusaihana,1,
ラフレシア,rafureshia,1,
パラス,parasu,1,
パラセクト,parasekuto,1,
コンパン,konnpann,1,
モルフォン,morufonn,1,
ディグダ,dhiguda,1,
ダグトリオ,dagutorio,1,
ニャース,nya-su,1,
ペルシアン,perushiann,1,
コダック,kodakku,1,
ゴルダック,gorudakku,1,
マンキー,mannki-,1,
オコリザル,okorizaru,1,
ガーディ,ga-dhi,1,
ウインディ,uinndhi,1,
ニョロモ,nyoromo,1,
ニョロゾ,nyorozo,1,
ニョロボン,nyorobonn,1,
ケーシィ,ke-syi,1,
ユンゲラー,yunngera-,1,
フーディン,fu-dhinn,1,
ワンリキー,wannriki-,1,
ゴーリキー,go-riki-,1,
カイリキー,kairiki-,1,
マダツボミ,madatsubomi,1,
ウツドン,utsudonn,1,
ウツボット,utsubotto,1,
メノクラゲ,menokurage,1,
ドククラゲ,dokukurage,1,
