ありがとう。,arigatou.,1,
おはよう。,ohayou.,1,
おめでとう！,omedetou!,1,
おやすみなさい。,oyasuminasai.,1,
気を付けてください。,kiwotsuketekudasai.,1,
こんにちは。,konnnichiha.,1,
こんばんは。,konnbannha.,1,
ごめんなさい。,gomennnasai.,1,
さようなら。,sayounara.,1,
残念です。,zannnenndesu.,1,
ただいま。,tadaima.,1,
ちょっといいですか？,chottoiidesuka?,1,
初めまして。,hajimemashite.,1,
また会いましょう！,mataaimashou!,1,
やったー！！,yatta-!!,1,
許してください。,yurushitekudasai.,1,
よくやった！,yokuyatta!,1,
いつですか？,itsudesuka?,1,
今どんな武器を持っていますか？,imadonnnabukiwomotteimasuka?,1,
助けはいりますか？,tasukehairimasuka?,1,
誰ですか？,daredesuka?,1,
どうすればいいですか？,dousurebaiidesuka?,1,
どこですか？,dokodesuka?,1,
どちらですか？,dochiradesuka?,1,
どんな戦術でいきますか？,donnnasennjutsudeikimasuka?,1,
何ですか？,nanndesuka?,1,
フレンドになってくれませんか？,furenndoninattekuremasennka?,1,
持っていますか？,motteimasuka?,1,
連携技の順番はどうしましょうか？,rennkeiwazanojunnbannhadoushimashouka?,1,
詠唱中です。,eishouchuudesu.,1,
お金を稼ぎたいです。,okanewokasegitaidesu.,1,
覚えてないんです。,oboetenainndesu.,1,
気が向きません。,kigamukimasenn.,1,
興味があります。,kyoumigaarimasu.,1,
経験値が欲しいです。,keikennchigahoshiidesu.,1,
仕事の時間です。,shigotonojikanndesu.,1,
知らないんです。,shiranainndesu.,1,
戦闘中なんです。,senntouchuunanndesu.,1,
体調が悪いんです。,taichougawaruinndesu.,1,
使ったばかりです。,tsukattabakaridesu.,1,
疲れました。,tsukaremashita.,1,
眠くなりました。,nemukukunarimashita.,1,
約束があるんです。,yakusokugaarunndesu.,1,
用事があるので、これで。,youjigaarunode,korede.,1,
今忙しいので、後にしてください。,imaisogashiinode,atonishitekudasai.,1,
今は独りで行動したいんです。,imahahitoridekoudoushitainndesu.,1,
いりません。,irimasenn.,1,
えーっと,e-tto,1,
えっ！！,eltu!!,1,
答えたいけど表現がわかりません。,kotaetaikedohyougenngawakarimasenn.,1,
せっかくだけど遠慮します。,sekkakudakedoennryoshimasu.,1,
なるほど。,naruhodo.,1,
はい。お願いします。,hai.onegaishimasu.,1,
へぇー,hele-,1,
本当に？,honntouni?,1,
むむむ。,mumumu.,1,
わかりました。,wakarimashita.,1,
わかりません。,wakarimasenn.,1,
